Entity,Code,Year,Renewables per capita (kWh - equivalent)
United Kingdom,GBR,1965,251.47968
United Kingdom,GBR,1966,245.83539
United Kingdom,GBR,1967,263.22614
United Kingdom,GBR,1968,199.49362
United Kingdom,GBR,1969,173.72546
United Kingdom,GBR,1970,241.02182
United Kingdom,GBR,1971,178.50136
United Kingdom,GBR,1972,177.92366
United Kingdom,GBR,1973,202.05814
United Kingdom,GBR,1974,214.06891
United Kingdom,GBR,1975,201.69823
United Kingdom,GBR,1976,238.39552
United Kingdom,GBR,1977,207.87569
United Kingdom,GBR,1978,214.0423
United Kingdom,GBR,1979,226.14218
United Kingdom,GBR,1980,207.57497
United Kingdom,GBR,1981,231.70032
United Kingdom,GBR,1982,237.60623
United Kingdom,GBR,1983,237.38972
United Kingdom,GBR,1984,237.16289
United Kingdom,GBR,1985,206.47751
United Kingdom,GBR,1986,248.63052
United Kingdom,GBR,1987,217.86247
United Kingdom,GBR,1988,253.66154
United Kingdom,GBR,1989,247.5016
United Kingdom,GBR,1990,298.1979
United Kingdom,GBR,1991,272.57138
United Kingdom,GBR,1992,328.62613
United Kingdom,GBR,1993,298.19434
United Kingdom,GBR,1994,363.34247
United Kingdom,GBR,1995,347.92422
United Kingdom,GBR,1996,296.93353
United Kingdom,GBR,1997,372.64362
United Kingdom,GBR,1998,448.3147
United Kingdom,GBR,1999,498.67804
United Kingdom,GBR,2000,513.6829
United Kingdom,GBR,2001,494.15225
United Kingdom,GBR,2002,571.00256
United Kingdom,GBR,2003,553.2697
United Kingdom,GBR,2004,720.68335
United Kingdom,GBR,2005,866.5245
United Kingdom,GBR,2006,934.6718
United Kingdom,GBR,2007,1030.0292
United Kingdom,GBR,2008,1206.3191
United Kingdom,GBR,2009,1385.4036
United Kingdom,GBR,2010,1451.4083
United Kingdom,GBR,2011,1820.8951
United Kingdom,GBR,2012,2038.9126
United Kingdom,GBR,2013,2571.1172
United Kingdom,GBR,2014,3076.2766
United Kingdom,GBR,2015,3831.7295
United Kingdom,GBR,2016,3787.2837
United Kingdom,GBR,2017,4403.344
United Kingdom,GBR,2018,4899.3535
United Kingdom,GBR,2019,5324.253
United Kingdom,GBR,2020,5861.1445
United Kingdom,GBR,2021,5359.1133
United Kingdom,GBR,2022,5865.4907
United Kingdom,GBR,2023,5848.6553
